Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1973,92.6,34.4,5.3,205.3,51.8,26.1,1.9,5.2,0.1,7.8,44.3,37.1
1974,33.6,9.2,48.5,724.5,45.7,82.0,5.3,7.3,0.7,0.6,40.4,15.7
1975,24.1,23.4,68.4,347.1,63.1,5.7,38.1,0.1,65.6,2.1,6.1,11.0
1976,7.5,42.5,119.3,236.8,83.6,32.2,3.5,2.2,20.5,0.1,16.2,51.5
1977,14.7,74.9,80.6,460.5,171.6,14.9,4.0,27.6,11.4,80.0,50.4,15.6
1978,71.7,62.4,320.3,250.3,117.9,25.7,5.1,0.4,0.0,3.8,145.2,57.8
1979,107.6,39.5,127.3,709.9,229.0,48.3,81.0,11.4,23.6,0.7,41.4,35.8
1980,13.7,12.3,90.3,346.0,215.2,5.2,8.4,59.7,4.3,33.1,81.6,9.7
1981,15.6,11.3,119.5,441.1,244.9,9.7,2.9,13.8,4.7,76.2,32.8,38.0
1982,13.5,19.0,113.9,90.7,216.6,83.7,44.7,14.2,23.3,51.5,263.6,111.8
1983,11.6,31.9,54.1,217.4,217.3,34.6,26.9,0.7,3.3,8.8,35.2,67.7
1984,38.7,1.9,13.7,553.5,58.9,72.2,76.9,0.6,4.2,31.0,95.2,57.6
1985,14.3,99.2,146.5,200.7,173.2,28.1,12.4,15.8,3.2,40.0,116.2,63.7
1986,87.6,5.4,164.5,387.6,208.1,29.5,2.2,7.0,1.4,43.8,58.7,89.2
1987,39.8,8.8,25.0,116.0,97.1,0.3,58.4,60.8,3.4,0.6,13.4,19.6
1988,60.8,8.6,179.8,534.8,128.6,22.4,7.2,4.8,37.5,1.2,27.5,79.1
1989,76.0,0.7,103.2,278.5,156.9,16.2,3.0,17.9,10.3,14.2,5.6,107.3
1990,52.0,45.7,244.9,633.9,49.5,6.4,8.8,6.2,4.0,39.8,173.7,43.4
1991,126.3,18.0,78.4,168.5,283.7,5.5,6.7,29.7,26.8,16.7,38.1,105.6
1992,2.9,16.9,37.9,446.8,215.5,3.1,14.4,24.1,0.8,0.1,91.8,52.4
1993,111.1,54.7,73.5,46.6,103.6,5.8,8.2,12.5,0.0,35.0,45.2,32.2
1994,4.7,41.9,124.8,174.4,178.3,8.9,13.6,2.7,2.7,70.8,27.5,68.4
1995,11.1,38.8,71.9,508.0,210.9,4.1,6.4,17.7,1.8,34.4,9.5,47.5
1996,12.9,76.7,51.6,218.1,194.6,6.5,8.4,1.7,5.0,5.8,18.9,0.0
1997,0.0,12.6,126.9,374.0,182.2,18.6,14.7,0.6,1.0,130.5,107.2,65.7
1998,287.2,151.2,44.4,422.0,117.8,10.4,25.4,1.0,4.8,15.2,28.5,6.7
1999,20.8,0.6,258.9,367.6,92.0,69.1,14.8,27.1,11.6,1.7,68.4,23.1
2000,1.4,2.0,121.6,117.8,54.1,27.0,4.4,15.5,2.0,6.0,17.5,28.4
2001,136.4,30.1,182.9,294.0,145.4,14.8,1.0,0.3,7.0,11.5,63.0,3.9
2002,69.5,21.7,177.8,490.0,71.8,1.6,3.7,39.8,116.2,72.3,27.1,129.0
2003,3.7,10.1,62.0,159.4,191.4,53.8,9.7,2.8,0.4,0.0,6.1,19.0
2004,83.5,29.8,48.2,200.4,65.4,13.2,1.2,0.0,0.0,65.3,27.6,39.6
2005,13.9,7.8,48.2,136.6,189.3,10.7,6.9,16.5,1.9,26.2,23.7,0.3
2006,19.0,3.1,169.3,261.9,235.9,31.2,10.0,2.9,24.2,88.4,165.6,69.2
2007,43.8,27.1,35.2,145.8,124.4,9.3,26.0,22.8,5.8,11.7,76.5,77.4
2008,44.1,40.6,474.4,237.9,97.9,15.7,12.1,15.1,13.3,20.1,56.4,19.8
2009,28.3,47.9,35.2,238.1,53.2,97.3,12.4,10.7,3.0,61.6,108.0,105.9
2010,15.0,6.4,109.0,509.4,138.1,8.3,3.5,3.0,4.7,0.1,52.8,59.2
