PlotID,Elevation
cof1,1303.08
cof2,1353.48
cof3,1287.89
cof4,1134.44
fer1,3891.97
fer2,3614.55
fer4,3419.86
flm1,1916.27
flm2,1832.9
flm3,1779.71
flm4,1830.3
flm6,2054.07
foc1,2149.71
foc2,2238.11
foc3,2499.34
foc4,2580.65
foc5,2741.14
fod1,2184.96
fod2,2495.4
fod4,2567.72
fod5,2422.16
fpd1,2838.28
fpd2,2996
fpd3,2792.23
fpd5,2756.5
fpo1,2832.75
fpo2,2937.15
fpo3,3009.13
fpo4,2752.5
fpo5,2825.44
gra0,1731.63
gra1,1741.64
gra2,1754.47
gra3,1474.46
gra4,1314.13
gra5,1266.41
hel1,3848.9
hel2,4217.24
hel3,4283.39
hel4,4396.38
hel5,4547.77
hom1,1657.68
hom2,1171.25
hom3,1823.78
mai2,871.724
mai3,868.818
fod3,2285.88
sav1,882.838
sav2,1028.15
sav3,1138.78
sav4,962.805
gra6,1383.69
cof6,1516.34
fed1,3497.85
fed4,3749.26
fed5,3874.97
fed2,3801.28
fed3,3980.13
mai1,1008.49
fer3,3888.17
cof5,1668.78
hom4,1299.71
mai4,962.043
mai5,952.605
sav5,942.553
fpd4,2818.81
fer0,3956.09
hom5,1530.23
nkw1,1676.14
emg0,1924.26
mch0,2977.78
foc0,2490.98
mwh0,3161.11
mai0,1009.73
sav0,952.845
foc6,2166.46
mcg0,2166.46
fpo0,2771.17
fpd0,3010.46
