"treeID","origin","dis","dir","inc","cbh","spec"
"A1","P1","6.05","296","16",26,"Quercus"
"A10","P4","15.35","221","-11",27,"Picea"
"A11","P4","14.3","197","-16",61,"Picea"
"A12","P4","10","194","-16",43,"Fagus"
"A13","P4","7.4","209","-17",43,"Picea"
"A14","P4","9.11","221","-11",87,"Picea"
"A15","P4","9.7","211","-13",59,"Picea"
"A16","P4","11.02","208","-15",39,"Picea"
"A18","P4","12.55","234","-6",138,"Pinus"
"A2","P1","9.6","310","17",16,"Fagus"
"A21","P4","15.79","232","-7",56,"Picea"
"A22","P4","17.29","230","-6",167,"Pinus"
"A23","P4","19.18","242","-10",60,"Picea"
"A24","P4","19.3","225","-12",75,"Picea"
"A25","P4","16.7","222","-11",89,"Picea"
"A26","P4","15.7","223","-11",50,"Picea"
"A27","P4","21.3","242","-10",88,"Picea"
"A28","P4","24.5","230","-11",71,"Picea"
"A29","P4","25.6","230","-11",66,"Picea"
"A3","P1","9.73","312","19",155,"Pinus"
"A30","P4","24.4","229","-12",60,"Picea"
"A31","P1","26.35","324","19",61,"Picea"
"A31","P4","23","225","-13",61,"Picea"
"A32","P1","20.36","340","21",13,"Fagus"
"A33","P1","21.81","313","18",62,"Pinus"
"A34","P4","29.8","231","-12",152,"Pinus"
"A35","P1","24.9","312","16",46,"Pinus"
"A36","P2","23.5","55","15",65,"Pinus"
"A37","P2","21.89","66","13",51,"Pinus"
"A38","P1","16.46","299","14",169,"Pinus"
"A39","P1","12.07","280","7",85,"Betula"
"A4","P1","16.8","321","20",148,"Pinus"
"A40","P1","18.3","284","8",188,"Pinus"
"A41","P2","17.6","71","11",151,"Pinus"
"A42","P2","20.7","55","14",119,"Pinus"
"A43","P2","15.5","51","17",120,"Pinus"
"A44","P1","26.53","282","2",109,"Pinus"
"A44","P2","13.6","78","6",109,"Pinus"
"A45","P2","14.42","70","11",72,"Picea"
"A46","P1","25.88","274","1",47,"Pinus"
"A46","P2","14.5","81","4",47,"Pinus"
"A47","P1","20.45","308","14",48,"Pinus"
"A48","P1","13.97","282","5",65,"Pinus"
"A5","P1","13.8","342","21",155,"Pinus"
"A6","P1","20.85","356","22",83,"Picea"
"A6","P4","19.08","186","-19",83,"Picea"
"A7","P1","23.1","358","21",87,"Picea"
"A7","P4","17.5","201","-17",87,"Picea"
"A8","P4","18.2","203","-18",132,"Pinus"
"A9","P4","17.2","204","-16",52,"Picea"
"B1","P2","5.01","54","21",66,"Pinus"
"B10","B14","6.25","153","-18.5",52,"Picea"
"B11","B14","8.45","145","-16",102,"Picea"
"B12","B13","6.6","105","-7",136,"Pinus"
"B13","P3","11.7","182","-6.5",57,"Picea"
"B14","P3","9.42","166","-2",38,"Pinus"
"B15","P3","8.16","177","-4.5",64,"Picea"
"B16","P3","7.1","155","-5",162,"Pinus"
"B17","B14","5.91","124","-14",37,"Picea"
"B18","B21","8.02","224","-12",54,"Picea"
"B19","B21","5.94","180","-12",79,"Picea"
"B2","P2","2.19","0","41",126,"Fagus"
"B20","P3","8.19","134.5","2",24,"Fagus"
"B21","P3","13.73","105","1",174,"Pinus"
"B22","B21","5.03","97","-4",82,"Picea"
"B22","P4","27.6","264","0",82,"Picea"
"B24","P4","19.5","256","-2",96,"Picea"
"B25","P4","22.93","256","-1",66,"Picea"
"B25","B21","5.5","128","-8",66,"Picea"
"B26","P4","21.6","247","-1",55,"Picea"
"B27","P4","25.2","248","-1",73,"Picea"
"B28","B21","6.84","176","-14",70,"Fagus"
"B28","P4","27.98","250","-3",70,"Fagus"
"B29","P4","25.55","250","-3",52,"Picea"
"B3","P2","7.53","48","26",9,"Fagus"
"B30","P4","26.28","245","-7",127,"Pinus"
"B31","P4","25.75","245","-7",33,"Picea"
"B33","B18","4.75","142","-19",42,"Picea"
"B34","B18","4.6","162","-24",39,"Picea"
"B35","P4","31.56","240","-7",119,"Pinus"
"B35","B18","3.38","160","-28",119,"Pinus"
"B36","B18","2.86","144","-25",59,"Picea"
"B36","P4","31.9","246","-7",59,"Picea"
"B37","B18","3.18","97","-7",35,"Picea"
"B37","P4","28.85","250","-3",35,"Picea"
"B38","B18","7.25","136","-18",61,"Picea"
"B39","P4","26","230","-6",67,"Picea"
"B4","P2","12.63","27","27",22,"Pinus"
"B40","P4","22.3","231","-6",47,"Picea"
"B41","P4","20.65","241","-4",62,"Picea"
"B42","P4","21.85","245","-2",64,"Picea"
"B43","P4","20.6","230","-6",63,"Picea"
"B44","P4","19.5","246","-1",68,"Picea"
"B45","P4","17.85","256","-1",39,"Picea"
"B46","P4","16","256","0",81,"Picea"
"B47","P4","18.45","245","-2",46,"Picea"
"B48","P4","14.6","256","0",53,"Picea"
"B49","P4","13","255","0",96,"Picea"
"B5","P2","13.03","27","27",18,"Betula"
"B50","P4","12.49","258","1",137,"Pinus"
"B51","P4","11.51","270","0",28,"Picea"
"B53","P4","8.98","235","-4",68,"Picea"
"B54","P4","7.11","242","-3",45,"Picea"
"B55","P4","6.39","230","-6",41,"Picea"
"B56","P4","7.14","225","-8",42,"Picea"
"B57","P4","4.97","228","-9",46,"Picea"
"B58","P4","1.7","270","0",128,"Pinus"
"B59","B21","5.58","107","-5.5",58,"Picea"
"B59","P4","21.65","262","0",58,"Picea"
"B6","P2","16.3","34","25",139,"Pinus"
"B7","P2","13.33","15","30",139,"Pinus"
"B8","B14","8.15","164","-20.5",80,"Picea"
"B9","B14","8.7","160","-19.5",132,"Pinus"
